post_title,post_name,post_parent,ID,sku,parent_sku,tax:product_type,tax:product_visibility,tax:product_cat,tax:product_tag,tax:product_shipping_class,attribute:Código,attribute_data:Código,attribute:Códigos,attribute_data:Códigos,attribute:Códigos:,attribute_data:Códigos:,attribute:Marca,attribute_data:Marca
"Barra soporte telescópica",barra-soporte-telescopica,,1022,,,simple,,"Accesorios acero inoxidable|Accesorios acero inoxidable > Accesorios shower door",,,,,,,"TP-101-1, TP-101-12",0|1|0,,
"Bisagra a cristal 135°",bisagra-a-cristal-135,,1023,,,simple,,"Accesorios acero inoxidable|Accesorios acero inoxidable > Accesorios shower door",,,SH-A135,0|1|0,,,,,,
"Bisagra a cristal 180°",bisagra-a-cristal-180,,1024,,,simple,,"Accesorios acero inoxidable|Accesorios acero inoxidable > Accesorios shower door",,,SH-A180,0|1|0,,,,,,
"Bisagra a cristal 90°",bisagra-a-cristal-90,,1025,,,simple,,"Accesorios acero inoxidable|Accesorios acero inoxidable > Accesorios shower door",,,SH-A90G,0|1|0,,,,,,
"Bisagra a muro biselada",bisagra-muro-biselada,,1026,,,simple,,"Accesorios acero inoxidable > Accesorios shower door",,,SH-A90,0|1|0,,,,,,
"Bisagra cristal-cristal 180°",bisagra-cristal-cristal-180,,1027,,,simple,,"Accesorios acero inoxidable > Accesorios shower door",,,SH-B180,0|1|0,,,,,,
"Bisagra cristal-cristal 90°",bisagra-cristal-cristal-90,,1028,,,simple,,"Accesorios acero inoxidable > Accesorios shower door",,,SH-B90G,0|1|0,,,,,,
"Bisagra a muro",bisagra-muro,,1029,,,simple,,"Accesorios acero inoxidable > Accesorios shower door",,,SH-B90,0|1|0,,,,,,
"Bisagra muro base desplazada",bisagra-muro-base-desplazada,,1030,,,simple,,"Accesorios acero inoxidable|Accesorios acero inoxidable > Accesorios shower door",,,SH-B90A,0|1|0,,,,,,
"Kit Shower Door corredera",kit-shower-door-corredera,,1031,,,simple,,"Accesorios acero inoxidable > Accesorios shower door",,,SSE01,0|1|0,,,,,,
"Pinza cristal-tubo 1''",pinza-cristal-tubo-1,,1032,,,simple,,"Accesorios acero inoxidable > Accesorios shower door",,,WCG20010-25,0|1|0,,,,,,
"Pinza a muro",pinza-muro,,1033,,,simple,,"Accesorios acero inoxidable > Accesorios shower door",,,SF-A01,0|1|0,,,,,,
"Pinza borde 180°",pinza-borde-180,,1034,,,simple,,"Accesorios acero inoxidable > Accesorios shower door",,,KD-102,0|1|0,,,,,,
"Pinza borde 90°",pinza-borde-90,,1035,,,simple,,"Accesorios acero inoxidable > Accesorios shower door",,,KD-104,0|1|0,,,,,,
"Pinza cristal-cristal 90°",pinza-cristal-cristal-90,,1036,,,simple,,"Accesorios acero inoxidable > Accesorios shower door",,,SF-B04,0|1|0,,,,,,
